1803
 -2.241000  10.875000  -3.970000
 -2.427347  10.858189  -3.799291
 -2.209823  10.841379  -4.325241
 -1.975855  10.824568  -3.624165
 -2.735396  10.807758  -4.057452
 -1.768436  10.790947  -4.270606
 -2.399915  10.774137  -3.378842
 -2.545058  10.757326  -4.555445
 -1.580057  10.740515  -3.728625
 -2.929282  10.723705  -3.685887
 -1.909090  10.706894  -4.679273
 -1.995761  10.690084  -3.188140
 -2.979779  10.673273  -4.398138
 -1.375013  10.656463  -4.160385
 -2.768961  10.639652  -3.219030
 -2.362825  10.622841  -4.910113
 -1.494129  10.606031  -3.340536
 -3.244565  10.589220  -3.928499
 -1.510141  10.572410  -4.697302
 -2.289815  10.555599  -2.914332
 -2.934016  10.538789  -4.800465
 -1.145204  10.521978  -3.822562
 -3.167700  10.505167  -3.325227
 -1.988269  10.488357  -5.093416
 -1.657621  10.471546  -2.951926
 -3.379102  10.454736  -4.333086
 -1.137803  10.437925  -4.479705
 -2.717909  10.421115  -2.830451
 -2.665703  10.404304  -5.150783
 -1.113412  10.387493  -3.377372
 -3.490652  10.370683  -3.640596
 -1.532307  10.353872  -5.072181
 -2.016080  10.337062  -2.661258
 -3.304432  10.320251  -4.793582
 -0.883889  10.303441  -4.082434
 -3.176810  10.286630  -2.958417
 -2.234200  10.269819  -5.363944
 -1.293989  10.253009  -2.926058
 -3.659561  10.236198  -4.101472
 -1.094400  10.219388  -4.840229
 -2.501223  10.202577  -2.539582
 -3.022874  10.185767  -5.212476
 -0.811886  10.168956  -3.578339
 -1.716633  10.135335  -5.384389
 -1.667392  10.118524  -2.560947
 -3.627129  10.101714  -4.626913
 -0.763425  10.084903  -4.425552
 -3.028872  10.068093  -2.625635
 -2.570618  10.051282  -5.504975
 -0.951731  10.034471  -3.054164
 -3.821437  10.017661  -3.773033
 -1.201578  10.000850  -5.191155
 -2.182168   9.984040  -2.356732
 -3.381476   9.967229  -5.127290
 -0.608094   9.950419  -3.886508
 -2.012340   9.916797  -5.608922
